sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:38:19_179 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
235,219154037,0.927597,0.221232,0.009822,0.300871,-0.129418,-0.561799,0.280229
236,219170704,0.927628,0.221115,0.009879,0.300861,-0.151172,-0.524583,0.248826
237,219187371,0.927678,0.220929,0.009900,0.300843,-0.114713,-0.537856,0.234479
238,219204038,0.927705,0.220774,0.009954,0.300872,-0.145675,-0.557060,0.249342
239,219220705,0.927748,0.220549,0.009957,0.300903,-0.145177,-0.585015,0.226422
240,219237372,0.927791,0.220361,0.010025,0.300906,-0.096808,-0.617341,0.224989
241,219254039,0.927819,0.220261,0.010141,0.300890,-0.126733,-0.602997,0.256927
242,219270706,0.927828,0.220171,0.010211,0.300924,-0.084171,-0.593710,0.228520
243,219287373,0.927837,0.220109,0.010296,0.300940,-0.129873,-0.572243,0.261290
244,219304040,0.927868,0.219948,0.010311,0.300963,-0.128811,-0.567125,0.202518
245,219320707,0.927880,0.219906,0.010384,0.300952,-0.125664,-0.546167,0.238375
246,219337374,0.927910,0.219814,0.010454,0.300924,-0.127032,-0.490296,0.256030
247,219354041,0.927945,0.219696,0.010532,0.300900,-0.091241,-0.514876,0.219136
248,219370708,0.927959,0.219613,0.010620,0.300914,-0.102323,-0.549191,0.268782
249,219387375,0.927973,0.219499,0.010705,0.300951,-0.147384,-0.542649,0.247429
250,219404042,0.927987,0.219424,0.010733,0.300961,-0.157784,-0.585171,0.229904
251,219420709,0.928007,0.219377,0.010762,0.300935,-0.140293,-0.531501,0.261619
252,219437376,0.928024,0.219345,0.010837,0.300901,-0.109482,-0.526376,0.240691
253,219454043,0.928038,0.219318,0.010905,0.300876,-0.170120,-0.550456,0.217266
254,219470710,0.928051,0.219216,0.010899,0.300911,-0.080146,-0.564122,0.285493
255,219487377,0.928063,0.219131,0.010980,0.300931,-0.118772,-0.562250,0.250069
256,219504044,0.928093,0.219068,0.011037,0.300883,-0.069202,-0.542323,0.212038
257,219520711,0.928107,0.219148,0.011226,0.300774,-0.123705,-0.418434,0.256908
258,219537378,0.928170,0.219022,0.011349,0.300669,-0.156282,-0.425508,0.239548
259,219554045,0.928203,0.218919,0.011437,0.300639,-0.144029,-0.503388,0.227492
260,219570712,0.928234,0.218829,0.011546,0.300604,-0.132572,-0.491791,0.294705
261,219587379,0.928262,0.218641,0.011550,0.300653,-0.154760,-0.541278,0.260872
262,219604046,0.928282,0.218523,0.011561,0.300678,-0.102966,-0.556876,0.241275
263,219620713,0.928305,0.218357,0.011566,0.300726,-0.079182,-0.541970,0.243812
264,219637380,0.928333,0.218290,0.011656,0.300686,-0.081563,-0.507479,0.199178
265,219654047,0.928367,0.218196,0.011753,0.300646,-0.072660,-0.496579,0.251645
266,219670714,0.928394,0.218098,0.011863,0.300627,-0.138022,-0.485105,0.255509
267,219687381,0.928432,0.217943,0.011898,0.300621,-0.139105,-0.502266,0.247423
268,219704048,0.928462,0.217827,0.011949,0.300611,-0.121329,-0.505988,0.258594
269,219720715,0.928495,0.217719,0.012012,0.300587,-0.143214,-0.445363,0.277015
270,219737382,0.928541,0.217513,0.012038,0.300592,-0.097526,-0.456050,0.230275
271,219754049,0.928580,0.217392,0.012151,0.300553,-0.122051,-0.459971,0.235086
272,219770716,0.928617,0.217139,0.012140,0.300623,-0.122733,-0.490344,0.248483
273,219787383,0.928649,0.216886,0.012111,0.300709,-0.006962,-0.525491,0.265873
274,219804050,0.928659,0.216753,0.012162,0.300770,-0.063835,-0.549356,0.224411
275,219820717,0.928654,0.216763,0.012331,0.300771,-0.133425,-0.508712,0.244520
276,219837384,0.928689,0.216700,0.012397,0.300705,-0.116672,-0.452782,0.218012
277,219854051,0.928695,0.216680,0.012527,0.300695,-0.112186,-0.416821,0.249156
278,219870718,0.928709,0.216594,0.012616,0.300712,-0.119791,-0.413302,0.248573
279,219887385,0.928722,0.216468,0.012629,0.300761,-0.124268,-0.425966,0.242579
280,219904052,0.928739,0.216286,0.012592,0.300842,-0.118790,-0.475627,0.247972
281,219920719,0.928756,0.216148,0.012604,0.300889,-0.092987,-0.490273,0.265639
282,219937386,0.928781,0.216038,0.012673,0.300888,-0.096411,-0.478144,0.260101
283,219954053,0.928810,0.215961,0.012761,0.300849,-0.115951,-0.481445,0.241707
284,219970720,0.928844,0.215868,0.012831,0.300808,-0.114156,-0.443178,0.251345
285,219987387,0.928870,0.215784,0.012906,0.300784,-0.134390,-0.426906,0.260087
286,220004054,0.928908,0.215641,0.012909,0.300769,-0.110803,-0.427605,0.225196
287,220020721,0.928932,0.215551,0.012956,0.300756,-0.119737,-0.449786,0.235906
288,220037388,0.928970,0.215442,0.012969,0.300718,-0.102992,-0.466381,0.242784
289,220054055,0.928995,0.215398,0.013046,0.300668,-0.098006,-0.431267,0.261816
290,220070722,0.929025,0.215358,0.013101,0.300602,-0.073215,-0.429727,0.247414
291,220087389,0.929052,0.215348,0.013148,0.300524,-0.129921,-0.411636,0.242326
292,220104056,0.929075,0.215255,0.013074,0.300522,-0.159598,-0.479540,0.253119
293,220120723,0.929088,0.215243,0.013031,0.300493,-0.111249,-0.440453,0.221697
